Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	593.81	0.0016840	215.43	216.27	1.0564	1.6618	2.3425	1001.9	-0.034699	190.24	0.11258	liquid	liquid, T = 280 K
280.00	10.000	594.51	0.0016821	215.00	216.68	1.0549	1.6622	2.3396	1006.9	-0.035001	191.37	0.11293	liquid	liquid, T = 280 K
280.00	15.000	595.20	0.0016801	214.57	217.09	1.0533	1.6627	2.3368	1011.7	-0.035296	192.49	0.11327	liquid	liquid, T = 280 K
280.00	20.000	595.88	0.0016782	214.15	217.50	1.0518	1.6631	2.3340	1016.6	-0.035583	193.61	0.11361	liquid	liquid, T = 280 K
280.00	25.000	596.56	0.0016763	213.73	217.92	1.0503	1.6635	2.3314	1021.4	-0.035863	194.74	0.11395	liquid	liquid, T = 280 K
280.00	30.000	597.23	0.0016744	213.32	218.34	1.0488	1.6639	2.3287	1026.1	-0.036135	195.86	0.11429	liquid	liquid, T = 280 K
280.00	35.000	597.89	0.0016726	212.91	218.76	1.0473	1.6643	2.3262	1030.8	-0.036401	196.98	0.11463	liquid	liquid, T = 280 K
280.00	40.000	598.54	0.0016707	212.50	219.19	1.0459	1.6647	2.3237	1035.5	-0.036659	198.09	0.11496	liquid	liquid, T = 280 K
														
310.00	5.0000	559.08	0.0017887	288.05	288.94	1.3029	1.7655	2.5095	839.28	-0.022649	143.55	0.10007	liquid	liquid, T = 310 K
310.00	10.000	560.08	0.0017855	287.45	289.23	1.3009	1.7658	2.5040	845.68	-0.023271	144.60	0.10048	liquid	liquid, T = 310 K
310.00	15.000	561.06	0.0017823	286.85	289.53	1.2990	1.7661	2.4988	851.98	-0.023869	145.64	0.10089	liquid	liquid, T = 310 K
310.00	20.000	562.03	0.0017793	286.27	289.83	1.2971	1.7665	2.4938	858.18	-0.024444	146.67	0.10130	liquid	liquid, T = 310 K
310.00	25.000	562.98	0.0017763	285.70	290.14	1.2952	1.7668	2.4889	864.28	-0.024998	147.70	0.10170	liquid	liquid, T = 310 K
310.00	30.000	563.91	0.0017733	285.13	290.45	1.2933	1.7672	2.4843	870.28	-0.025531	148.72	0.10209	liquid	liquid, T = 310 K
310.00	35.000	564.84	0.0017704	284.57	290.77	1.2915	1.7676	2.4798	876.20	-0.026046	149.74	0.10249	liquid	liquid, T = 310 K
310.00	40.000	565.74	0.0017676	284.03	291.10	1.2897	1.7679	2.4755	882.04	-0.026542	150.75	0.10287	liquid	liquid, T = 310 K
														
340.00	5.0000	11.458	0.087273	646.23	689.87	2.5420	1.7860	2.0198	209.14	1.8733	8.4091	0.021242	vapor	vapor, T = 340 K
340.00	7.5201	18.522	0.053989	638.93	679.53	2.4609	1.8197	2.1416	196.17	2.0907	8.4292	0.021578	vapor	vapor, T = 340 K
340.00	7.5201	519.69	0.0019242	365.98	367.42	1.5429	1.8811	2.7286	675.39	-0.0030126	108.82	0.088875	liquid	liquid, T = 340 K
340.00	10.000	520.48	0.0019213	365.52	367.45	1.5416	1.8811	2.7227	679.85	-0.0037680	109.37	0.089127	liquid	liquid, T = 340 K
340.00	15.000	522.02	0.0019156	364.63	367.51	1.5389	1.8811	2.7112	688.63	-0.0052168	110.46	0.089627	liquid	liquid, T = 340 K
340.00	20.000	523.52	0.0019102	363.77	367.59	1.5363	1.8811	2.7004	697.16	-0.0065748	111.54	0.090119	liquid	liquid, T = 340 K
340.00	25.000	524.97	0.0019049	362.92	367.68	1.5338	1.8812	2.6904	705.47	-0.0078512	112.61	0.090602	liquid	liquid, T = 340 K
340.00	30.000	526.39	0.0018997	362.10	367.80	1.5314	1.8814	2.6809	713.55	-0.0090538	113.66	0.091077	liquid	liquid, T = 340 K
340.00	35.000	527.77	0.0018948	361.30	367.93	1.5290	1.8815	2.6719	721.44	-0.010189	114.70	0.091545	liquid	liquid, T = 340 K
340.00	40.000	529.12	0.0018899	360.51	368.07	1.5266	1.8817	2.6635	729.15	-0.011264	115.73	0.092005	liquid	liquid, T = 340 K
														
370.00	5.0000	10.215	0.097895	702.75	751.70	2.7162	1.9030	2.1070	223.23	1.3712	9.1818	0.024788	vapor	vapor, T = 370 K
370.00	10.000	22.604	0.044240	691.42	735.66	2.5850	1.9446	2.2625	204.07	1.5893	9.2847	0.025466	vapor	vapor, T = 370 K
370.00	14.343	36.689	0.027256	678.60	717.69	2.4955	1.9943	2.5384	181.96	1.9133	9.4819	0.026617	vapor	vapor, T = 370 K
370.00	14.343	472.76	0.0021152	450.41	453.44	1.7813	2.0104	3.0548	506.76	0.035459	81.114	0.079172	liquid	liquid, T = 370 K
370.00	15.000	473.15	0.0021135	450.20	453.37	1.7807	2.0102	3.0500	508.67	0.034787	81.299	0.079261	liquid	liquid, T = 370 K
