Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	10.320	0.096898	12.305	12.789	60.620	96.807	134.78	1044.6	-0.37158	200.33	0.11563	liquid	liquid, T = 280 K
280.00	10.000	10.425	0.095924	12.087	13.046	59.815	97.047	133.58	1088.1	-0.39329	211.43	0.11882	liquid	liquid, T = 280 K
280.00	15.000	10.521	0.095050	11.888	13.314	59.067	97.284	132.61	1128.1	-0.41075	222.49	0.12184	liquid	liquid, T = 280 K
280.00	20.000	10.610	0.094254	11.705	13.590	58.364	97.516	131.82	1165.5	-0.42507	233.53	0.12472	liquid	liquid, T = 280 K
280.00	25.000	10.692	0.093525	11.536	13.874	57.699	97.742	131.16	1200.5	-0.43702	244.60	0.12747	liquid	liquid, T = 280 K
280.00	30.000	10.770	0.092850	11.378	14.163	57.069	97.963	130.60	1233.6	-0.44710	255.70	0.13012	liquid	liquid, T = 280 K
280.00	35.000	10.843	0.092223	11.230	14.457	56.468	98.179	130.13	1265.1	-0.45571	266.87	0.13268	liquid	liquid, T = 280 K
280.00	40.000	10.913	0.091636	11.090	14.756	55.892	98.390	129.72	1295.0	-0.46311	278.11	0.13515	liquid	liquid, T = 280 K
														
310.00	5.0000	9.7642	0.10242	16.446	16.958	74.756	102.80	143.40	893.47	-0.27485	152.77	0.10364	liquid	liquid, T = 310 K
310.00	10.000	9.9048	0.10096	16.159	17.168	73.794	103.02	141.43	946.46	-0.31394	162.60	0.10729	liquid	liquid, T = 310 K
310.00	15.000	10.029	0.099707	15.904	17.400	72.923	103.25	139.94	993.98	-0.34334	172.16	0.11068	liquid	liquid, T = 310 K
310.00	20.000	10.142	0.098602	15.675	17.647	72.122	103.48	138.79	1037.3	-0.36629	181.55	0.11387	liquid	liquid, T = 310 K
310.00	25.000	10.245	0.097613	15.467	17.907	71.378	103.71	137.86	1077.4	-0.38469	190.82	0.11691	liquid	liquid, T = 310 K
310.00	30.000	10.339	0.096718	15.275	18.177	70.681	103.93	137.10	1114.8	-0.39975	200.02	0.11981	liquid	liquid, T = 310 K
310.00	35.000	10.428	0.095900	15.098	18.455	70.024	104.15	136.47	1149.9	-0.41227	209.18	0.12258	liquid	liquid, T = 310 K
310.00	40.000	10.510	0.095147	14.933	18.739	69.401	104.36	135.94	1183.1	-0.42283	218.33	0.12526	liquid	liquid, T = 310 K
														
340.00	5.0000	9.1483	0.10931	20.865	21.412	88.462	109.39	153.90	744.04	-0.13250	117.74	0.092907	liquid	liquid, T = 340 K
340.00	10.000	9.3461	0.10700	20.473	21.543	87.259	109.56	150.46	810.46	-0.20818	127.30	0.097094	liquid	liquid, T = 340 K
340.00	15.000	9.5124	0.10513	20.142	21.719	86.216	109.76	148.13	867.35	-0.25937	136.24	0.10088	liquid	liquid, T = 340 K
340.00	20.000	9.6571	0.10355	19.853	21.924	85.286	109.98	146.44	917.76	-0.29656	144.79	0.10438	liquid	liquid, T = 340 K
340.00	25.000	9.7858	0.10219	19.596	22.151	84.441	110.20	145.14	963.41	-0.32486	153.07	0.10766	liquid	liquid, T = 340 K
340.00	30.000	9.9022	0.10099	19.365	22.394	83.662	110.42	144.12	1005.4	-0.34712	161.17	0.11077	liquid	liquid, T = 340 K
340.00	35.000	10.009	0.099913	19.153	22.650	82.938	110.63	143.30	1044.3	-0.36507	169.13	0.11374	liquid	liquid, T = 340 K
340.00	40.000	10.107	0.098941	18.959	22.917	82.260	110.84	142.62	1080.8	-0.37981	177.00	0.11658	liquid	liquid, T = 340 K
														
370.00	5.0000	8.4326	0.11859	25.629	26.222	102.01	116.48	167.50	592.54	0.10859	89.986	0.083451	liquid	liquid, T = 370 K
370.00	10.000	8.7313	0.11453	25.063	26.209	100.40	116.44	160.80	679.71	-0.057865	100.20	0.088353	liquid	liquid, T = 370 K
370.00	15.000	8.9611	0.11159	24.621	26.295	99.108	116.57	157.02	748.70	-0.15160	109.15	0.092575	liquid	liquid, T = 370 K
370.00	20.000	9.1508	0.10928	24.252	26.438	98.003	116.75	154.53	807.33	-0.21293	117.39	0.096378	liquid	liquid, T = 370 K
370.00	25.000	9.3136	0.10737	23.935	26.619	97.029	116.96	152.75	859.07	-0.25651	125.18	0.099885	liquid	liquid, T = 370 K
370.00	30.000	9.4571	0.10574	23.655	26.827	96.152	117.17	151.41	905.78	-0.28915	132.64	0.10317	liquid	liquid, T = 370 K
370.00	35.000	9.5859	0.10432	23.404	27.055	95.349	117.38	150.36	948.62	-0.31450	139.89	0.10628	liquid	liquid, T = 370 K
370.00	40.000	9.7029	0.10306	23.176	27.299	94.606	117.58	149.52	988.35	-0.33473	146.96	0.10925	liquid	liquid, T = 370 K
