Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	10.217	0.097880	12.521	12.570	61.402	96.589	136.15	1001.9	-0.034699	190.24	0.11258	liquid	liquid, T = 280 K
280.00	10.000	10.229	0.097765	12.496	12.594	61.312	96.613	135.98	1006.9	-0.035001	191.37	0.11293	liquid	liquid, T = 280 K
280.00	15.000	10.240	0.097652	12.471	12.618	61.223	96.637	135.82	1011.7	-0.035296	192.49	0.11327	liquid	liquid, T = 280 K
280.00	20.000	10.252	0.097540	12.447	12.642	61.134	96.661	135.66	1016.6	-0.035583	193.61	0.11361	liquid	liquid, T = 280 K
280.00	25.000	10.264	0.097429	12.422	12.666	61.047	96.686	135.50	1021.4	-0.035863	194.74	0.11395	liquid	liquid, T = 280 K
280.00	30.000	10.275	0.097320	12.398	12.690	60.960	96.710	135.35	1026.1	-0.036135	195.86	0.11429	liquid	liquid, T = 280 K
280.00	35.000	10.287	0.097213	12.375	12.715	60.874	96.734	135.20	1030.8	-0.036401	196.98	0.11463	liquid	liquid, T = 280 K
280.00	40.000	10.298	0.097106	12.351	12.740	60.788	96.758	135.06	1035.5	-0.036659	198.09	0.11496	liquid	liquid, T = 280 K
														
310.00	5.0000	9.6190	0.10396	16.742	16.794	75.725	102.61	145.86	839.28	-0.022649	143.55	0.10007	liquid	liquid, T = 310 K
310.00	10.000	9.6362	0.10378	16.707	16.811	75.611	102.63	145.54	845.68	-0.023271	144.60	0.10048	liquid	liquid, T = 310 K
310.00	15.000	9.6531	0.10359	16.673	16.828	75.499	102.65	145.24	851.98	-0.023869	145.64	0.10089	liquid	liquid, T = 310 K
310.00	20.000	9.6698	0.10342	16.639	16.845	75.389	102.67	144.94	858.18	-0.024444	146.67	0.10130	liquid	liquid, T = 310 K
310.00	25.000	9.6861	0.10324	16.605	16.863	75.280	102.69	144.66	864.28	-0.024998	147.70	0.10170	liquid	liquid, T = 310 K
310.00	30.000	9.7022	0.10307	16.572	16.882	75.172	102.71	144.39	870.28	-0.025531	148.72	0.10209	liquid	liquid, T = 310 K
310.00	35.000	9.7181	0.10290	16.540	16.900	75.066	102.73	144.13	876.20	-0.026046	149.74	0.10249	liquid	liquid, T = 310 K
310.00	40.000	9.7337	0.10274	16.508	16.919	74.961	102.76	143.88	882.04	-0.026542	150.75	0.10287	liquid	liquid, T = 310 K
														
340.00	5.0000	0.19714	5.0725	37.560	40.097	147.75	103.80	117.39	209.14	1.8733	8.4091	0.021242	vapor	vapor, T = 340 K
340.00	7.5201	0.31868	3.1380	37.136	39.496	143.03	105.77	124.47	196.17	2.0907	8.4292	0.021578	vapor	vapor, T = 340 K
340.00	7.5201	8.9414	0.11184	21.271	21.355	89.677	109.33	158.59	675.39	-0.0030126	108.82	0.088875	liquid	liquid, T = 340 K
340.00	10.000	8.9549	0.11167	21.245	21.357	89.599	109.33	158.25	679.85	-0.0037680	109.37	0.089127	liquid	liquid, T = 340 K
340.00	15.000	8.9814	0.11134	21.193	21.360	89.446	109.33	157.58	688.63	-0.0052168	110.46	0.089627	liquid	liquid, T = 340 K
340.00	20.000	9.0072	0.11102	21.143	21.365	89.296	109.34	156.96	697.16	-0.0065748	111.54	0.090119	liquid	liquid, T = 340 K
340.00	25.000	9.0322	0.11071	21.094	21.371	89.150	109.34	156.37	705.47	-0.0078512	112.61	0.090602	liquid	liquid, T = 340 K
340.00	30.000	9.0566	0.11042	21.046	21.377	89.006	109.35	155.82	713.55	-0.0090538	113.66	0.091077	liquid	liquid, T = 340 K
340.00	35.000	9.0804	0.11013	20.999	21.385	88.866	109.36	155.30	721.44	-0.010189	114.70	0.091545	liquid	liquid, T = 340 K
340.00	40.000	9.1036	0.10985	20.954	21.393	88.729	109.37	154.81	729.15	-0.011264	115.73	0.092005	liquid	liquid, T = 340 K
														
370.00	5.0000	0.17575	5.6898	40.845	43.690	157.87	110.61	122.47	223.23	1.3712	9.1818	0.024788	vapor	vapor, T = 370 K
370.00	10.000	0.38891	2.5713	40.187	42.758	150.24	113.03	131.50	204.07	1.5893	9.2847	0.025466	vapor	vapor, T = 370 K
370.00	14.343	0.63124	1.5842	39.442	41.714	145.04	115.92	147.54	181.96	1.9133	9.4819	0.026617	vapor	vapor, T = 370 K
370.00	14.343	8.1340	0.12294	26.179	26.355	103.53	116.85	177.55	506.76	0.035459	81.114	0.079172	liquid	liquid, T = 370 K
370.00	15.000	8.1406	0.12284	26.167	26.351	103.50	116.84	177.27	508.67	0.034787	81.299	0.079261	liquid	liquid, T = 370 K
370.00	20.000	8.1894	0.12211	26.078	26.322	103.26	116.75	175.32	522.68	0.030062	82.673	0.079921	liquid	liquid, T = 370 K
370.00	25.000	8.2353	0.12143	25.994	26.298	103.03	116.68	173.62	535.84	0.025921	83.992	0.080557	liquid	liquid, T = 370 K
370.00	30.000	8.2787	0.12079	25.915	26.277	102.81	116.62	172.12	548.29	0.022250	85.264	0.081171	liquid	liquid, T = 370 K
370.00	35.000	8.3199	0.12019	25.839	26.260	102.60	116.57	170.78	560.11	0.018966	86.495	0.081765	liquid	liquid, T = 370 K
370.00	40.000	8.3592	0.11963	25.766	26.245	102.40	116.53	169.58	571.39	0.016004	87.690	0.082342	liquid	liquid, T = 370 K
