Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	10.000	10.229	0.097765	12.496	12.594	61.312	96.613	135.98	1006.9	-0.035001	191.37	0.11293	liquid	liquid, P = 10 bar
290.00	10.000	10.038	0.099619	13.868	13.968	66.134	98.535	138.92	953.24	-0.031616	174.03	0.10866	liquid	liquid, P = 10 bar
300.00	10.000	9.8412	0.10161	15.271	15.373	70.896	100.54	142.09	899.57	-0.027749	158.55	0.10451	liquid	liquid, P = 10 bar
310.00	10.000	9.6362	0.10378	16.707	16.811	75.611	102.63	145.54	845.68	-0.023271	144.60	0.10048	liquid	liquid, P = 10 bar
320.00	10.000	9.4218	0.10614	18.179	18.285	80.290	104.79	149.32	791.34	-0.017995	131.90	0.096580	liquid	liquid, P = 10 bar
330.00	10.000	9.1956	0.10875	19.690	19.799	84.948	107.03	153.51	736.22	-0.011641	120.22	0.092797	liquid	liquid, P = 10 bar
340.00	10.000	8.9549	0.11167	21.245	21.357	89.599	109.33	158.25	679.85	-0.0037680	109.37	0.089127	liquid	liquid, P = 10 bar
350.00	10.000	8.6953	0.11500	22.851	22.966	94.264	111.73	163.78	621.53	0.0063603	99.151	0.085555	liquid	liquid, P = 10 bar
352.62	10.000	8.6234	0.11596	23.281	23.397	95.491	112.37	165.40	605.80	0.0095320	96.558	0.084632	liquid	liquid, P = 10 bar
352.62	10.000	0.42728	2.3404	38.127	40.468	143.90	109.97	132.62	191.42	1.9881	8.8255	0.023478	vapor	vapor, P = 10 bar
360.00	10.000	0.40956	2.4417	39.001	41.443	146.64	111.18	131.74	197.12	1.7992	9.0220	0.024301	vapor	vapor, P = 10 bar
370.00	10.000	0.38891	2.5713	40.187	42.758	150.24	113.03	131.50	204.07	1.5893	9.2847	0.025466	vapor	vapor, P = 10 bar
380.00	10.000	0.37116	2.6942	41.381	44.075	153.76	115.04	131.97	210.36	1.4178	9.5438	0.026680	vapor	vapor, P = 10 bar
390.00	10.000	0.35562	2.8120	42.587	45.399	157.19	117.13	132.89	216.13	1.2750	9.7996	0.027936	vapor	vapor, P = 10 bar
400.00	10.000	0.34181	2.9256	43.808	46.734	160.57	119.28	134.10	221.49	1.1545	10.052	0.029231	vapor	vapor, P = 10 bar
410.00	10.000	0.32939	3.0359	45.046	48.082	163.90	121.46	135.54	226.52	1.0516	10.302	0.030563	vapor	vapor, P = 10 bar
