Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	10.217	0.097880	12.521	12.570	61.402	96.589	136.15	1001.9	-0.034699	190.24	0.11258	liquid	liquid, P = 5 bar
285.00	5.0000	10.121	0.098800	13.205	13.254	63.824	97.539	137.61	974.91	-0.033024	181.34	0.11042	liquid	liquid, P = 5 bar
290.00	5.0000	10.025	0.099753	13.896	13.946	66.231	98.511	139.12	947.89	-0.031237	172.94	0.10829	liquid	liquid, P = 5 bar
295.00	5.0000	9.9263	0.10074	14.595	14.646	68.622	99.506	140.70	920.84	-0.029323	165.01	0.10619	liquid	liquid, P = 5 bar
300.00	5.0000	9.8260	0.10177	15.302	15.353	71.001	100.52	142.34	893.74	-0.027267	157.49	0.10412	liquid	liquid, P = 5 bar
305.00	5.0000	9.7237	0.10284	16.018	16.069	73.368	101.56	144.06	866.56	-0.025050	150.35	0.10208	liquid	liquid, P = 5 bar
310.00	5.0000	9.6190	0.10396	16.742	16.794	75.725	102.61	145.86	839.28	-0.022649	143.55	0.10007	liquid	liquid, P = 5 bar
315.00	5.0000	9.5119	0.10513	17.475	17.528	78.073	103.69	147.74	811.86	-0.020036	137.06	0.098090	liquid	liquid, P = 5 bar
320.00	5.0000	9.4020	0.10636	18.218	18.272	80.415	104.78	149.72	784.25	-0.017176	130.85	0.096139	liquid	liquid, P = 5 bar
323.48	5.0000	9.3238	0.10725	18.741	18.795	82.041	105.55	151.16	764.92	-0.015020	126.68	0.094800	liquid	liquid, P = 5 bar
323.48	5.0000	0.21237	4.7088	35.819	38.173	141.95	100.38	115.61	200.14	2.2852	7.9687	0.019417	vapor	vapor, P = 5 bar
325.00	5.0000	0.21082	4.7433	35.978	38.349	142.49	100.68	115.72	201.02	2.2415	8.0098	0.019582	vapor	vapor, P = 5 bar
330.00	5.0000	0.20597	4.8550	36.502	38.929	144.26	101.69	116.18	203.83	2.1069	8.1441	0.020127	vapor	vapor, P = 5 bar
335.00	5.0000	0.20142	4.9647	37.029	39.511	146.01	102.73	116.75	206.54	1.9847	8.2772	0.020680	vapor	vapor, P = 5 bar
340.00	5.0000	0.19714	5.0725	37.560	40.097	147.75	103.80	117.39	209.14	1.8733	8.4091	0.021242	vapor	vapor, P = 5 bar
345.00	5.0000	0.19310	5.1786	38.096	40.685	149.47	104.90	118.11	211.66	1.7714	8.5401	0.021813	vapor	vapor, P = 5 bar
350.00	5.0000	0.18928	5.2833	38.636	41.278	151.17	106.01	118.89	214.11	1.6780	8.6700	0.022392	vapor	vapor, P = 5 bar
355.00	5.0000	0.18565	5.3866	39.181	41.874	152.86	107.14	119.72	216.48	1.5920	8.7992	0.022978	vapor	vapor, P = 5 bar
360.00	5.0000	0.18219	5.4888	39.731	42.475	154.54	108.28	120.60	218.79	1.5127	8.9275	0.023573	vapor	vapor, P = 5 bar
365.00	5.0000	0.17890	5.5898	40.286	43.080	156.21	109.44	121.52	221.04	1.4393	9.0550	0.024176	vapor	vapor, P = 5 bar
370.00	5.0000	0.17575	5.6898	40.845	43.690	157.87	110.61	122.47	223.23	1.3712	9.1818	0.024788	vapor	vapor, P = 5 bar
375.00	5.0000	0.17274	5.7890	41.411	44.305	159.52	111.79	123.45	225.37	1.3078	9.3080	0.025407	vapor	vapor, P = 5 bar
380.00	5.0000	0.16986	5.8873	41.981	44.925	161.16	112.97	124.45	227.47	1.2488	9.4335	0.026034	vapor	vapor, P = 5 bar
385.00	5.0000	0.16709	5.9848	42.557	45.550	162.80	114.16	125.47	229.53	1.1937	9.5584	0.026668	vapor	vapor, P = 5 bar
390.00	5.0000	0.16443	6.0817	43.139	46.180	164.42	115.35	126.51	231.54	1.1422	9.6828	0.027311	vapor	vapor, P = 5 bar
395.00	5.0000	0.16187	6.1778	43.726	46.815	166.04	116.54	127.56	233.52	1.0939	9.8066	0.027962	vapor	vapor, P = 5 bar
400.00	5.0000	0.15940	6.2734	44.319	47.455	167.65	117.74	128.62	235.46	1.0487	9.9299	0.028621	vapor	vapor, P = 5 bar
405.00	5.0000	0.15703	6.3684	44.917	48.101	169.26	118.93	129.69	237.37	1.0062	10.053	0.029288	vapor	vapor, P = 5 bar
410.00	5.0000	0.15473	6.4629	45.521	48.752	170.86	120.12	130.77	239.25	0.96634	10.175	0.029962	vapor	vapor, P = 5 bar
415.00	5.0000	0.15251	6.5569	46.130	49.409	172.45	121.31	131.86	241.10	0.92878	10.297	0.030645	vapor	vapor, P = 5 bar
420.00	5.0000	0.15037	6.6504	46.746	50.071	174.03	122.50	132.95	242.92	0.89338	10.419	0.031335	vapor	vapor, P = 5 bar
425.00	5.0000	0.14829	6.7435	47.366	50.738	175.61	123.68	134.04	244.71	0.85996	10.540	0.032033	vapor	vapor, P = 5 bar
430.00	5.0000	0.14628	6.8362	47.993	51.411	177.19	124.86	135.14	246.48	0.82840	10.660	0.032739	vapor	vapor, P = 5 bar
435.00	5.0000	0.14433	6.9285	48.625	52.090	178.76	126.04	136.23	248.23	0.79854	10.781	0.033453	vapor	vapor, P = 5 bar
440.00	5.0000	0.14244	7.0205	49.263	52.774	180.32	127.21	137.33	249.95	0.77026	10.901	0.034175	vapor	vapor, P = 5 bar
445.00	5.0000	0.14060	7.1121	49.907	53.463	181.88	128.38	138.43	251.66	0.74346	11.020	0.034905	vapor	vapor, P = 5 bar
450.00	5.0000	0.13882	7.2035	50.556	54.158	183.43	129.54	139.53	253.34	0.71802	11.140	0.035643	vapor	vapor, P = 5 bar
455.00	5.0000	0.13709	7.2945	51.211	54.858	184.98	130.70	140.62	255.00	0.69387	11.259	0.036388	vapor	vapor, P = 5 bar
460.00	5.0000	0.13541	7.3852	51.871	55.564	186.52	131.85	141.71	256.65	0.67090	11.377	0.037142	vapor	vapor, P = 5 bar
465.00	5.0000	0.13377	7.4757	52.537	56.275	188.06	132.99	142.80	258.27	0.64905	11.496	0.037903	vapor	vapor, P = 5 bar
