Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	6.0000	10.219	0.097857	12.516	12.575	61.384	96.594	136.12	1002.9	-0.034760	190.46	0.11265	liquid	liquid, P = 6 bar
285.00	6.0000	10.124	0.098775	13.200	13.259	63.806	97.543	137.57	975.94	-0.033093	181.56	0.11049	liquid	liquid, P = 6 bar
290.00	6.0000	10.027	0.099726	13.891	13.951	66.211	98.516	139.08	948.96	-0.031314	173.16	0.10837	liquid	liquid, P = 6 bar
295.00	6.0000	9.9292	0.10071	14.589	14.650	68.602	99.511	140.65	921.96	-0.029410	165.22	0.10627	liquid	liquid, P = 6 bar
300.00	6.0000	9.8291	0.10174	15.296	15.357	70.980	100.53	142.29	894.91	-0.027365	157.70	0.10420	liquid	liquid, P = 6 bar
305.00	6.0000	9.7269	0.10281	16.011	16.073	73.346	101.56	144.00	867.79	-0.025161	150.56	0.10216	liquid	liquid, P = 6 bar
310.00	6.0000	9.6225	0.10392	16.735	16.797	75.702	102.62	145.79	840.57	-0.022776	143.76	0.10015	liquid	liquid, P = 6 bar
315.00	6.0000	9.5156	0.10509	17.468	17.531	78.049	103.69	147.67	813.21	-0.020181	137.27	0.098176	liquid	liquid, P = 6 bar
320.00	6.0000	9.4060	0.10632	18.210	18.274	80.390	104.78	149.64	785.68	-0.017343	131.06	0.096228	liquid	liquid, P = 6 bar
325.00	6.0000	9.2933	0.10760	18.963	19.028	82.726	105.89	151.72	757.92	-0.014221	125.10	0.094310	liquid	liquid, P = 6 bar
330.00	6.0000	9.1772	0.10897	19.726	19.792	85.059	107.02	153.93	729.88	-0.010760	119.37	0.092420	liquid	liquid, P = 6 bar
330.64	6.0000	9.1620	0.10915	19.825	19.891	85.360	107.16	154.22	726.24	-0.010286	118.64	0.092178	liquid	liquid, P = 6 bar
330.64	6.0000	0.25417	3.9344	36.391	38.752	142.40	102.69	119.25	198.70	2.1923	8.1622	0.020317	vapor	vapor, P = 6 bar
335.00	6.0000	0.24877	4.0198	36.860	39.272	143.97	103.53	119.46	201.36	2.0741	8.2800	0.020796	vapor	vapor, P = 6 bar
340.00	6.0000	0.24297	4.1157	37.401	39.870	145.74	104.53	119.83	204.29	1.9507	8.4140	0.021354	vapor	vapor, P = 6 bar
345.00	6.0000	0.23755	4.2096	37.945	40.470	147.49	105.55	120.31	207.10	1.8389	8.5469	0.021922	vapor	vapor, P = 6 bar
350.00	6.0000	0.23246	4.3019	38.492	41.073	149.23	106.61	120.88	209.80	1.7371	8.6786	0.022499	vapor	vapor, P = 6 bar
355.00	6.0000	0.22766	4.3926	39.044	41.679	150.94	107.68	121.54	212.41	1.6440	8.8093	0.023084	vapor	vapor, P = 6 bar
360.00	6.0000	0.22312	4.4820	39.600	42.289	152.65	108.78	122.26	214.93	1.5586	8.9391	0.023678	vapor	vapor, P = 6 bar
365.00	6.0000	0.21881	4.5701	40.160	42.902	154.34	109.90	123.05	217.38	1.4800	9.0680	0.024280	vapor	vapor, P = 6 bar
370.00	6.0000	0.21473	4.6571	40.725	43.519	156.02	111.04	123.88	219.76	1.4074	9.1961	0.024891	vapor	vapor, P = 6 bar
375.00	6.0000	0.21083	4.7431	41.295	44.141	157.69	112.18	124.76	222.07	1.3401	9.3234	0.025510	vapor	vapor, P = 6 bar
380.00	6.0000	0.20712	4.8282	41.870	44.767	159.35	113.34	125.67	224.32	1.2777	9.4499	0.026137	vapor	vapor, P = 6 bar
385.00	6.0000	0.20356	4.9124	42.450	45.398	161.00	114.51	126.61	226.52	1.2196	9.5759	0.026772	vapor	vapor, P = 6 bar
390.00	6.0000	0.20016	4.9959	43.036	46.033	162.64	115.68	127.57	228.67	1.1654	9.7011	0.027415	vapor	vapor, P = 6 bar
395.00	6.0000	0.19690	5.0787	43.626	46.673	164.27	116.85	128.56	230.77	1.1148	9.8258	0.028066	vapor	vapor, P = 6 bar
400.00	6.0000	0.19377	5.1608	44.222	47.319	165.89	118.02	129.56	232.83	1.0676	9.9499	0.028725	vapor	vapor, P = 6 bar
405.00	6.0000	0.19076	5.2423	44.824	47.969	167.51	119.19	130.57	234.85	1.0233	10.073	0.029392	vapor	vapor, P = 6 bar
410.00	6.0000	0.18786	5.3232	45.430	48.624	169.12	120.37	131.60	236.83	0.98179	10.196	0.030067	vapor	vapor, P = 6 bar
415.00	6.0000	0.18506	5.4037	46.043	49.285	170.72	121.54	132.64	238.78	0.94280	10.319	0.030750	vapor	vapor, P = 6 bar
420.00	6.0000	0.18236	5.4836	46.661	49.951	172.31	122.72	133.69	240.69	0.90612	10.441	0.031441	vapor	vapor, P = 6 bar
425.00	6.0000	0.17976	5.5631	47.284	50.622	173.90	123.89	134.74	242.57	0.87157	10.563	0.032140	vapor	vapor, P = 6 bar
430.00	6.0000	0.17724	5.6421	47.913	51.298	175.48	125.06	135.80	244.43	0.83898	10.684	0.032847	vapor	vapor, P = 6 bar
435.00	6.0000	0.17480	5.7208	48.547	51.980	177.06	126.22	136.87	246.25	0.80820	10.805	0.033562	vapor	vapor, P = 6 bar
440.00	6.0000	0.17244	5.7991	49.187	52.667	178.63	127.39	137.93	248.05	0.77910	10.925	0.034285	vapor	vapor, P = 6 bar
445.00	6.0000	0.17015	5.8770	49.833	53.359	180.19	128.54	139.00	249.83	0.75155	11.045	0.035015	vapor	vapor, P = 6 bar
450.00	6.0000	0.16794	5.9546	50.484	54.057	181.75	129.70	140.07	251.58	0.72545	11.165	0.035754	vapor	vapor, P = 6 bar
455.00	6.0000	0.16578	6.0319	51.141	54.760	183.31	130.85	141.14	253.30	0.70068	11.284	0.036500	vapor	vapor, P = 6 bar
460.00	6.0000	0.16369	6.1089	51.803	55.468	184.85	131.99	142.21	255.01	0.67716	11.403	0.037255	vapor	vapor, P = 6 bar
465.00	6.0000	0.16166	6.1857	52.471	56.182	186.40	133.13	143.28	256.69	0.65481	11.522	0.038017	vapor	vapor, P = 6 bar
470.00	6.0000	0.15969	6.2621	53.144	56.901	187.94	134.26	144.34	258.36	0.63355	11.641	0.038787	vapor	vapor, P = 6 bar
475.00	6.0000	0.15777	6.3384	53.822	57.625	189.47	135.38	145.41	260.01	0.61330	11.759	0.039565	vapor	vapor, P = 6 bar
480.00	6.0000	0.15590	6.4144	54.507	58.355	191.00	136.50	146.47	261.63	0.59400	11.876	0.040351	vapor	vapor, P = 6 bar
485.00	6.0000	0.15408	6.4901	55.196	59.090	192.52	137.62	147.52	263.25	0.57559	11.994	0.041145	vapor	vapor, P = 6 bar
490.00	6.0000	0.15231	6.5657	55.891	59.830	194.04	138.72	148.58	264.84	0.55802	12.111	0.041947	vapor	vapor, P = 6 bar
495.00	6.0000	0.15058	6.6410	56.591	60.576	195.55	139.82	149.63	266.42	0.54124	12.228	0.042757	vapor	vapor, P = 6 bar
500.00	6.0000	0.14889	6.7162	57.297	61.327	197.06	140.91	150.67	267.98	0.52519	12.345	0.043574	vapor	vapor, P = 6 bar
505.00	6.0000	0.14725	6.7912	58.008	62.083	198.57	142.00	151.71	269.53	0.50984	12.462	0.044400	vapor	vapor, P = 6 bar
