Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	10.000	10.425	0.095924	12.087	13.046	59.815	97.047	133.58	1088.1	-0.39329	211.43	0.11882	liquid	liquid, P = 10 MPa
290.00	10.000	10.255	0.097514	13.419	14.394	64.546	98.961	136.06	1040.2	-0.36911	193.16	0.11484	liquid	liquid, P = 10 MPa
300.00	10.000	10.082	0.099189	14.776	15.768	69.202	100.96	138.68	993.02	-0.34276	177.01	0.11099	liquid	liquid, P = 10 MPa
310.00	10.000	9.9048	0.10096	16.159	17.168	73.794	103.02	141.43	946.46	-0.31394	162.60	0.10729	liquid	liquid, P = 10 MPa
320.00	10.000	9.7235	0.10284	17.568	18.597	78.329	105.15	144.30	900.52	-0.28226	149.66	0.10373	liquid	liquid, P = 10 MPa
330.00	10.000	9.5375	0.10485	19.006	20.055	82.815	107.33	147.31	855.19	-0.24722	137.96	0.10033	liquid	liquid, P = 10 MPa
340.00	10.000	9.3461	0.10700	20.473	21.543	87.259	109.56	150.46	810.46	-0.20818	127.30	0.097094	liquid	liquid, P = 10 MPa
350.00	10.000	9.1484	0.10931	21.971	23.064	91.668	111.82	153.74	766.31	-0.16435	117.53	0.094016	liquid	liquid, P = 10 MPa
360.00	10.000	8.9439	0.11181	23.501	24.619	96.047	114.11	157.19	722.73	-0.11469	108.53	0.091102	liquid	liquid, P = 10 MPa
370.00	10.000	8.7313	0.11453	25.063	26.209	100.40	116.44	160.80	679.71	-0.057865	100.20	0.088353	liquid	liquid, P = 10 MPa
380.00	10.000	8.5098	0.11751	26.660	27.836	104.74	118.79	164.61	637.27	0.0078339	92.439	0.085767	liquid	liquid, P = 10 MPa
390.00	10.000	8.2781	0.12080	28.293	29.502	109.07	121.17	168.63	595.40	0.084672	85.189	0.083343	liquid	liquid, P = 10 MPa
