Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	593.81	0.0016840	215.43	216.27	1.0564	1.6618	2.3425	1001.9	-0.034699	190.24	0.11258	liquid	liquid, T = 280 K
280.00	10.000	594.51	0.0016821	215.00	216.68	1.0549	1.6622	2.3396	1006.9	-0.035001	191.37	0.11293	liquid	liquid, T = 280 K
280.00	15.000	595.20	0.0016801	214.57	217.09	1.0533	1.6627	2.3368	1011.7	-0.035296	192.49	0.11327	liquid	liquid, T = 280 K
280.00	20.000	595.88	0.0016782	214.15	217.50	1.0518	1.6631	2.3340	1016.6	-0.035583	193.61	0.11361	liquid	liquid, T = 280 K
280.00	25.000	596.56	0.0016763	213.73	217.92	1.0503	1.6635	2.3314	1021.4	-0.035863	194.74	0.11395	liquid	liquid, T = 280 K
280.00	30.000	597.23	0.0016744	213.32	218.34	1.0488	1.6639	2.3287	1026.1	-0.036135	195.86	0.11429	liquid	liquid, T = 280 K
280.00	35.000	597.89	0.0016726	212.91	218.76	1.0473	1.6643	2.3262	1030.8	-0.036401	196.98	0.11463	liquid	liquid, T = 280 K
280.00	40.000	598.54	0.0016707	212.50	219.19	1.0459	1.6647	2.3237	1035.5	-0.036659	198.09	0.11496	liquid	liquid, T = 280 K
														
330.00	5.0000	11.972	0.083532	628.01	669.78	2.4820	1.7496	1.9989	203.83	2.1069	8.1441	0.020127	vapor	vapor, T = 330 K
330.00	5.9045	14.540	0.068778	625.23	665.84	2.4493	1.7632	2.0459	198.85	2.2001	8.1445	0.020233	vapor	vapor, T = 330 K
330.00	5.9045	533.38	0.0018749	339.41	340.52	1.4635	1.8412	2.6485	729.72	-0.010739	119.34	0.092411	liquid	liquid, T = 330 K
330.00	10.000	534.47	0.0018710	338.77	340.64	1.4615	1.8414	2.6411	736.22	-0.011641	120.22	0.092797	liquid	liquid, T = 330 K
330.00	15.000	535.78	0.0018664	338.00	340.80	1.4592	1.8416	2.6325	743.97	-0.012688	121.28	0.093261	liquid	liquid, T = 330 K
330.00	20.000	537.05	0.0018620	337.25	340.97	1.4569	1.8418	2.6244	751.55	-0.013681	122.33	0.093719	liquid	liquid, T = 330 K
330.00	25.000	538.30	0.0018577	336.51	341.16	1.4546	1.8420	2.6167	758.96	-0.014624	123.37	0.094170	liquid	liquid, T = 330 K
330.00	30.000	539.52	0.0018535	335.79	341.35	1.4524	1.8422	2.6094	766.22	-0.015521	124.39	0.094615	liquid	liquid, T = 330 K
330.00	35.000	540.71	0.0018494	335.09	341.56	1.4503	1.8425	2.6024	773.32	-0.016375	125.41	0.095055	liquid	liquid, T = 330 K
330.00	40.000	541.88	0.0018454	334.40	341.78	1.4481	1.8428	2.5957	780.29	-0.017191	126.42	0.095488	liquid	liquid, T = 330 K
														
380.00	5.0000	9.8725	0.10129	722.29	772.94	2.7729	1.9437	2.1412	227.47	1.2488	9.4335	0.026034	vapor	vapor, T = 380 K
380.00	10.000	21.573	0.046355	711.97	758.32	2.6454	1.9792	2.2706	210.36	1.4178	9.5438	0.026680	vapor	vapor, T = 380 K
380.00	15.000	36.498	0.027398	698.87	739.97	2.5501	2.0272	2.5173	188.38	1.6901	9.7670	0.027852	vapor	vapor, T = 380 K
380.00	17.399	45.851	0.021810	690.74	728.69	2.5050	2.0581	2.7544	174.66	1.9058	9.9574	0.028840	vapor	vapor, T = 380 K
380.00	17.399	454.17	0.0022018	480.50	484.33	1.8619	2.0588	3.2206	447.13	0.058704	72.763	0.076210	liquid	liquid, T = 380 K
380.00	20.000	456.16	0.0021922	479.48	483.86	1.8592	2.0571	3.1905	456.34	0.054351	73.595	0.076607	liquid	liquid, T = 380 K
380.00	25.000	459.72	0.0021752	477.62	483.06	1.8542	2.0544	3.1407	472.89	0.047087	75.121	0.077339	liquid	liquid, T = 380 K
380.00	30.000	463.01	0.0021598	475.89	482.37	1.8495	2.0523	3.0991	488.16	0.040955	76.565	0.078035	liquid	liquid, T = 380 K
380.00	35.000	466.08	0.0021456	474.27	481.78	1.8452	2.0505	3.0636	502.40	0.035685	77.940	0.078701	liquid	liquid, T = 380 K
380.00	40.000	468.94	0.0021325	472.75	481.28	1.8410	2.0491	3.0328	515.76	0.031089	79.257	0.079340	liquid	liquid, T = 380 K
														
430.00	5.0000	8.5021	0.11762	825.73	884.54	3.0485	2.1482	2.3250	246.48	0.82840	10.660	0.032739	vapor	vapor, T = 430 K
430.00	10.000	17.891	0.055893	818.56	874.45	2.9323	2.1661	2.3888	235.79	0.88536	10.795	0.033331	vapor	vapor, T = 430 K
430.00	15.000	28.457	0.035140	810.58	863.29	2.8550	2.1865	2.4745	223.90	0.95449	10.984	0.034087	vapor	vapor, T = 430 K
