Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	11.981	0.083464	9.2663	9.6836	45.856	70.452	109.38	902.90	-0.23950	125.47	0.10656	liquid	liquid, T = 280 K
280.00	10.000	12.181	0.082096	9.0079	9.8288	44.897	70.573	107.10	963.42	-0.29452	134.10	0.11073	liquid	liquid, T = 280 K
280.00	15.000	12.355	0.080940	8.7823	9.9964	44.040	70.725	105.44	1016.5	-0.33471	142.28	0.11458	liquid	liquid, T = 280 K
280.00	20.000	12.510	0.079937	8.5814	10.180	43.260	70.892	104.17	1064.1	-0.36550	150.13	0.11818	liquid	liquid, T = 280 K
280.00	25.000	12.650	0.079049	8.3999	10.376	42.540	71.067	103.17	1107.5	-0.38988	157.74	0.12160	liquid	liquid, T = 280 K
280.00	30.000	12.779	0.078253	8.2341	10.582	41.870	71.246	102.35	1147.7	-0.40966	165.19	0.12487	liquid	liquid, T = 280 K
280.00	35.000	12.898	0.077530	8.0813	10.795	41.241	71.426	101.68	1185.0	-0.42602	172.49	0.12801	liquid	liquid, T = 280 K
280.00	40.000	13.009	0.076867	7.9397	11.014	40.646	71.606	101.11	1220.1	-0.43975	179.70	0.13103	liquid	liquid, T = 280 K
														
310.00	5.0000	11.025	0.090707	12.662	13.116	57.491	75.506	120.13	716.78	-0.010880	93.290	0.092673	liquid	liquid, T = 310 K
310.00	10.000	11.332	0.088244	12.279	13.162	56.198	75.450	115.44	798.09	-0.13626	102.27	0.097633	liquid	liquid, T = 310 K
310.00	15.000	11.580	0.086358	11.968	13.263	55.117	75.517	112.54	864.62	-0.21463	110.33	0.10200	liquid	liquid, T = 310 K
310.00	20.000	11.789	0.084823	11.702	13.399	54.174	75.637	110.53	921.94	-0.26900	117.83	0.10598	liquid	liquid, T = 310 K
310.00	25.000	11.972	0.083525	11.470	13.558	53.330	75.783	109.05	972.83	-0.30918	124.94	0.10968	liquid	liquid, T = 310 K
310.00	30.000	12.136	0.082400	11.262	13.734	52.562	75.942	107.91	1018.9	-0.34014	131.78	0.11316	liquid	liquid, T = 310 K
310.00	35.000	12.284	0.081407	11.075	13.924	51.852	76.108	106.99	1061.2	-0.36475	138.41	0.11648	liquid	liquid, T = 310 K
310.00	40.000	12.420	0.080516	10.903	14.124	51.191	76.277	106.25	1100.5	-0.38475	144.88	0.11967	liquid	liquid, T = 310 K
														
340.00	5.0000	9.8081	0.10196	16.455	16.965	69.331	81.436	138.83	518.75	0.49519	66.997	0.080053	liquid	liquid, T = 340 K
340.00	10.000	10.358	0.096545	15.815	16.780	67.331	80.847	126.32	637.11	0.12356	77.636	0.086374	liquid	liquid, T = 340 K
340.00	15.000	10.732	0.093175	15.363	16.761	65.880	80.744	120.83	722.12	-0.044907	86.164	0.091407	liquid	liquid, T = 340 K
340.00	20.000	11.025	0.090707	15.005	16.819	64.701	80.787	117.59	791.11	-0.14474	93.682	0.095785	liquid	liquid, T = 340 K
340.00	25.000	11.267	0.088755	14.705	16.924	63.690	80.890	115.41	850.28	-0.21168	100.59	0.099752	liquid	liquid, T = 340 K
340.00	30.000	11.476	0.087139	14.446	17.060	62.797	81.022	113.83	902.65	-0.25995	107.10	0.10343	liquid	liquid, T = 340 K
340.00	35.000	11.660	0.085761	14.216	17.218	61.990	81.169	112.62	949.95	-0.29647	113.31	0.10689	liquid	liquid, T = 340 K
340.00	40.000	11.826	0.084559	14.010	17.392	61.251	81.322	111.67	993.32	-0.32508	119.30	0.11018	liquid	liquid, T = 340 K
														
370.00	5.0000	7.6380	0.13092	21.284	21.939	83.304	90.690	228.74	267.20	3.0891	40.016	0.066845	supercritical	liquid, T = 370 K
370.00	10.000	9.1674	0.10908	19.698	20.789	78.620	86.727	142.08	480.61	0.62565	57.518	0.076750	supercritical	liquid, T = 370 K
370.00	15.000	9.7862	0.10218	18.994	20.526	76.488	86.253	130.46	590.93	0.20955	67.242	0.082783	supercritical	liquid, T = 370 K
370.00	20.000	10.206	0.097980	18.500	20.459	74.957	86.165	125.16	673.29	0.018686	75.073	0.087625	supercritical	liquid, T = 370 K
370.00	25.000	10.531	0.094958	18.111	20.485	73.723	86.204	122.00	741.11	-0.093566	81.965	0.091848	supercritical	liquid, T = 370 K
370.00	30.000	10.799	0.092603	17.787	20.565	72.674	86.297	119.88	799.70	-0.16815	88.286	0.095680	supercritical	liquid, T = 370 K
370.00	35.000	11.028	0.090678	17.508	20.682	71.751	86.417	118.33	851.77	-0.22149	94.220	0.099238	supercritical	liquid, T = 370 K
370.00	40.000	11.230	0.089051	17.263	20.825	70.923	86.552	117.16	898.95	-0.26155	99.875	0.10259	supercritical	liquid, T = 370 K
