Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	0.24040	4.1598	23.750	25.830	105.96	64.100	77.582	224.34	2.3315	7.6091	0.016485	vapor	vapor, T = 280 K
280.00	5.8168	0.28611	3.4952	23.645	25.678	104.31	64.639	79.516	220.36	2.4045	7.6105	0.016544	vapor	vapor, T = 280 K
280.00	5.8168	11.774	0.084934	9.5331	9.5825	46.823	70.393	112.30	840.29	-0.016985	117.28	0.10250	liquid	liquid, T = 280 K
280.00	10.000	11.795	0.084781	9.5058	9.5906	46.725	70.396	111.97	846.70	-0.017766	118.08	0.10290	liquid	liquid, T = 280 K
280.00	15.000	11.820	0.084603	9.4739	9.6008	46.610	70.400	111.60	854.21	-0.018662	119.04	0.10338	liquid	liquid, T = 280 K
280.00	20.000	11.844	0.084428	9.4426	9.6114	46.498	70.405	111.24	861.57	-0.019517	119.98	0.10385	liquid	liquid, T = 280 K
280.00	25.000	11.868	0.084258	9.4119	9.6225	46.386	70.410	110.89	868.78	-0.020335	120.92	0.10431	liquid	liquid, T = 280 K
280.00	30.000	11.892	0.084092	9.3817	9.6340	46.277	70.417	110.56	875.86	-0.021118	121.84	0.10477	liquid	liquid, T = 280 K
280.00	35.000	11.915	0.083930	9.3521	9.6459	46.170	70.425	110.25	882.80	-0.021870	122.76	0.10523	liquid	liquid, T = 280 K
280.00	40.000	11.937	0.083771	9.3230	9.6581	46.063	70.433	109.95	889.62	-0.022591	123.67	0.10568	liquid	liquid, T = 280 K
														
310.00	5.0000	0.20958	4.7714	25.810	28.196	113.98	68.977	80.525	241.13	1.6398	8.4527	0.019829	vapor	vapor, T = 310 K
310.00	10.000	0.46299	2.1599	25.301	27.461	106.50	71.201	88.836	222.71	1.8623	8.5286	0.020343	vapor	vapor, T = 310 K
310.00	12.724	0.63234	1.5814	24.956	26.969	103.28	73.000	97.136	210.28	2.0508	8.6166	0.020869	vapor	vapor, T = 310 K
310.00	12.724	10.726	0.093235	13.026	13.145	58.690	75.754	126.40	638.69	0.015249	85.533	0.088319	liquid	liquid, T = 310 K
310.00	15.000	10.746	0.093054	13.001	13.141	58.608	75.729	125.88	644.14	0.013937	86.047	0.088609	liquid	liquid, T = 310 K
310.00	20.000	10.791	0.092671	12.947	13.133	58.433	75.680	124.84	655.73	0.011241	87.154	0.089233	liquid	liquid, T = 310 K
310.00	25.000	10.834	0.092306	12.896	13.126	58.263	75.639	123.88	666.84	0.0087698	88.233	0.089840	liquid	liquid, T = 310 K
310.00	30.000	10.874	0.091958	12.846	13.122	58.100	75.603	123.01	677.53	0.0064944	89.287	0.090433	liquid	liquid, T = 310 K
310.00	35.000	10.914	0.091626	12.798	13.118	57.941	75.572	122.21	687.84	0.0043899	90.318	0.091011	liquid	liquid, T = 310 K
310.00	40.000	10.952	0.091307	12.751	13.116	57.787	75.546	121.46	697.80	0.0024356	91.327	0.091577	liquid	liquid, T = 310 K
														
340.00	5.0000	0.18704	5.3463	28.002	30.676	121.62	74.417	84.967	255.52	1.2127	9.2735	0.023429	vapor	vapor, T = 340 K
340.00	10.000	0.39942	2.5036	27.623	30.127	114.70	75.716	89.610	242.44	1.3096	9.3621	0.023909	vapor	vapor, T = 340 K
340.00	15.000	0.64898	1.5409	27.178	29.490	109.95	77.382	96.804	227.28	1.4396	9.5228	0.024651	vapor	vapor, T = 340 K
340.00	20.000	0.96090	1.0407	26.622	28.704	105.77	79.824	110.30	208.77	1.6317	9.8052	0.025922	vapor	vapor, T = 340 K
340.00	24.310	1.3353	0.74890	25.951	27.771	101.90	83.689	140.98	187.44	1.9136	10.258	0.028252	vapor	vapor, T = 340 K
340.00	24.310	9.3382	0.10709	16.975	17.235	70.913	82.558	158.07	422.46	0.10157	59.336	0.075584	liquid	liquid, T = 340 K
340.00	25.000	9.3548	0.10690	16.957	17.224	70.859	82.505	157.15	425.81	0.099241	59.587	0.075727	liquid	liquid, T = 340 K
340.00	30.000	9.4660	0.10564	16.837	17.154	70.495	82.181	151.57	448.29	0.084744	61.305	0.076713	liquid	liquid, T = 340 K
340.00	35.000	9.5642	0.10456	16.729	17.095	70.167	81.930	147.32	468.32	0.073322	62.875	0.077626	liquid	liquid, T = 340 K
