Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	10.000	11.795	0.084781	9.5058	9.5906	46.725	70.396	111.97	846.70	-0.017766	118.08	0.10290	liquid	liquid, P = 10 bar
290.00	10.000	11.461	0.087250	10.642	10.730	50.722	72.062	115.96	777.96	-0.0093240	106.26	0.097823	liquid	liquid, P = 10 bar
300.00	10.000	11.100	0.090091	11.823	11.913	54.732	73.850	120.80	706.85	0.0016878	95.279	0.092861	liquid	liquid, P = 10 bar
300.09	10.000	11.096	0.090120	11.834	11.924	54.769	73.867	120.85	706.18	0.0018057	95.181	0.092815	liquid	liquid, P = 10 bar
300.09	10.000	0.49168	2.0338	24.542	26.576	103.59	70.043	90.047	214.79	2.1407	8.2483	0.019253	vapor	vapor, P = 10 bar
310.00	10.000	0.46299	2.1599	25.301	27.461	106.50	71.201	88.836	222.71	1.8623	8.5286	0.020343	vapor	vapor, P = 10 bar
320.00	10.000	0.43868	2.2796	26.068	28.348	109.31	72.578	88.574	229.86	1.6405	8.8090	0.021492	vapor	vapor, P = 10 bar
330.00	10.000	0.41776	2.3937	26.841	29.235	112.04	74.098	88.899	236.39	1.4599	9.0868	0.022683	vapor	vapor, P = 10 bar
340.00	10.000	0.39942	2.5036	27.623	30.127	114.70	75.716	89.610	242.44	1.3096	9.3621	0.023909	vapor	vapor, P = 10 bar
350.00	10.000	0.38310	2.6103	28.417	31.028	117.32	77.404	90.585	248.10	1.1824	9.6349	0.025168	vapor	vapor, P = 10 bar
360.00	10.000	0.36843	2.7142	29.225	31.939	119.88	79.142	91.749	253.46	1.0735	9.9053	0.026458	vapor	vapor, P = 10 bar
370.00	10.000	0.35513	2.8159	30.047	32.863	122.41	80.914	93.052	258.55	0.97946	10.173	0.027779	vapor	vapor, P = 10 bar
380.00	10.000	0.34296	2.9158	30.885	33.801	124.91	82.712	94.459	263.42	0.89756	10.439	0.029129	vapor	vapor, P = 10 bar
390.00	10.000	0.33178	3.0141	31.738	34.753	127.39	84.526	95.944	268.10	0.82578	10.703	0.030508	vapor	vapor, P = 10 bar
400.00	10.000	0.32144	3.1110	32.609	35.720	129.84	86.349	97.488	272.61	0.76251	10.964	0.031915	vapor	vapor, P = 10 bar
410.00	10.000	0.31183	3.2069	33.496	36.702	132.26	88.176	99.074	276.98	0.70643	11.223	0.033352	vapor	vapor, P = 10 bar
420.00	10.000	0.30288	3.3017	34.400	37.701	134.67	90.002	100.69	281.21	0.65649	11.480	0.034816	vapor	vapor, P = 10 bar
430.00	10.000	0.29450	3.3956	35.321	38.716	137.06	91.824	102.33	285.32	0.61180	11.735	0.036310	vapor	vapor, P = 10 bar
440.00	10.000	0.28664	3.4887	36.259	39.748	139.43	93.636	103.98	289.33	0.57166	11.988	0.037831	vapor	vapor, P = 10 bar
450.00	10.000	0.27923	3.5812	37.215	40.796	141.78	95.438	105.64	293.25	0.53544	12.239	0.039381	vapor	vapor, P = 10 bar
														
280.00	20.000	11.844	0.084428	9.4426	9.6114	46.498	70.405	111.24	861.57	-0.019517	119.98	0.10385	liquid	liquid, P = 20 bar
290.00	20.000	11.520	0.086805	10.568	10.742	50.464	72.050	114.95	794.95	-0.011781	108.22	0.098851	liquid	liquid, P = 20 bar
300.00	20.000	11.172	0.089512	11.734	11.913	54.433	73.803	119.36	726.65	-0.0019196	97.346	0.093990	liquid	liquid, P = 20 bar
310.00	20.000	10.791	0.092671	12.947	13.133	58.433	75.680	124.84	655.73	0.011241	87.154	0.089233	liquid	liquid, P = 20 bar
320.00	20.000	10.364	0.096487	14.223	14.415	62.505	77.722	132.12	580.58	0.030018	77.409	0.084523	liquid	liquid, P = 20 bar
330.00	20.000	9.8645	0.10137	15.584	15.787	66.725	80.031	143.13	498.03	0.059863	67.795	0.079746	liquid	liquid, P = 20 bar
330.41	20.000	9.8417	0.10161	15.643	15.846	66.904	80.135	143.73	494.39	0.061497	67.394	0.079545	liquid	liquid, P = 20 bar
330.41	20.000	1.0484	0.95387	25.697	27.605	102.49	79.929	120.48	196.47	1.9355	9.6008	0.025264	vapor	vapor, P = 20 bar
340.00	20.000	0.96090	1.0407	26.622	28.704	105.77	79.824	110.30	208.77	1.6317	9.8052	0.025922	vapor	vapor, P = 20 bar
350.00	20.000	0.89339	1.1193	27.542	29.780	108.89	80.558	105.61	219.20	1.4088	10.040	0.026895	vapor	vapor, P = 20 bar
360.00	20.000	0.83982	1.1907	28.442	30.824	111.83	81.671	103.39	228.15	1.2398	10.284	0.028014	vapor	vapor, P = 20 bar
370.00	20.000	0.79539	1.2573	29.338	31.852	114.65	83.001	102.44	236.09	1.1052	10.534	0.029224	vapor	vapor, P = 20 bar
380.00	20.000	0.75745	1.3202	30.235	32.875	117.38	84.465	102.25	243.31	0.99445	10.785	0.030499	vapor	vapor, P = 20 bar
390.00	20.000	0.72439	1.3805	31.138	33.899	120.04	86.015	102.53	249.95	0.90150	11.038	0.031827	vapor	vapor, P = 20 bar
400.00	20.000	0.69513	1.4386	32.050	34.927	122.64	87.625	103.15	256.14	0.82226	11.290	0.033200	vapor	vapor, P = 20 bar
410.00	20.000	0.66893	1.4949	32.973	35.963	125.20	89.276	104.00	261.96	0.75392	11.542	0.034613	vapor	vapor, P = 20 bar
