Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	6.0000	11.775	0.084927	9.5319	9.5828	46.819	70.393	112.29	840.57	-0.017019	117.31	0.10251	liquid	liquid, P = 6 bar
281.07	6.0000	11.740	0.085181	9.6525	9.7037	47.249	70.568	112.69	833.19	-0.016178	115.99	0.10196	liquid	liquid, P = 6 bar
281.07	6.0000	0.29492	3.3908	23.694	25.728	104.26	64.911	79.990	220.17	2.3872	7.6421	0.016675	vapor	vapor, P = 6 bar
285.00	6.0000	0.28867	3.4641	23.964	26.042	105.37	65.454	80.032	222.80	2.2657	7.7549	0.017097	vapor	vapor, P = 6 bar
290.00	6.0000	0.28123	3.5558	24.310	26.443	106.76	66.177	80.202	226.03	2.1246	7.8978	0.017643	vapor	vapor, P = 6 bar
295.00	6.0000	0.27430	3.6456	24.657	26.845	108.14	66.933	80.481	229.12	1.9966	8.0399	0.018196	vapor	vapor, P = 6 bar
300.00	6.0000	0.26782	3.7339	25.008	27.248	109.49	67.718	80.850	232.10	1.8802	8.1811	0.018757	vapor	vapor, P = 6 bar
305.00	6.0000	0.26173	3.8208	25.361	27.653	110.83	68.527	81.294	234.98	1.7738	8.3217	0.019326	vapor	vapor, P = 6 bar
310.00	6.0000	0.25599	3.9065	25.717	28.061	112.16	69.358	81.803	237.77	1.6763	8.4615	0.019902	vapor	vapor, P = 6 bar
315.00	6.0000	0.25056	3.9911	26.077	28.471	113.47	70.207	82.367	240.48	1.5867	8.6006	0.020486	vapor	vapor, P = 6 bar
320.00	6.0000	0.24542	4.0747	26.440	28.885	114.77	71.073	82.977	243.11	1.5041	8.7391	0.021076	vapor	vapor, P = 6 bar
325.00	6.0000	0.24053	4.1574	26.807	29.301	116.07	71.952	83.626	245.68	1.4277	8.8769	0.021674	vapor	vapor, P = 6 bar
330.00	6.0000	0.23588	4.2394	27.177	29.721	117.35	72.844	84.311	248.19	1.3569	9.0141	0.022279	vapor	vapor, P = 6 bar
335.00	6.0000	0.23145	4.3206	27.552	30.144	118.62	73.745	85.025	250.64	1.2912	9.1507	0.022891	vapor	vapor, P = 6 bar
340.00	6.0000	0.22721	4.4011	27.931	30.571	119.89	74.656	85.765	253.03	1.2302	9.2868	0.023510	vapor	vapor, P = 6 bar
345.00	6.0000	0.22316	4.4811	28.313	31.002	121.14	75.574	86.528	255.38	1.1733	9.4222	0.024136	vapor	vapor, P = 6 bar
350.00	6.0000	0.21928	4.5605	28.700	31.437	122.39	76.499	87.310	257.68	1.1202	9.5571	0.024769	vapor	vapor, P = 6 bar
355.00	6.0000	0.21555	4.6393	29.092	31.875	123.64	77.429	88.109	259.95	1.0707	9.6914	0.025409	vapor	vapor, P = 6 bar
360.00	6.0000	0.21197	4.7177	29.487	32.318	124.88	78.363	88.923	262.17	1.0243	9.8252	0.026056	vapor	vapor, P = 6 bar
365.00	6.0000	0.20852	4.7957	29.887	32.764	126.11	79.301	89.751	264.35	0.98084	9.9584	0.026710	vapor	vapor, P = 6 bar
370.00	6.0000	0.20520	4.8733	30.291	33.215	127.34	80.241	90.589	266.51	0.94010	10.091	0.027371	vapor	vapor, P = 6 bar
375.00	6.0000	0.20200	4.9504	30.700	33.670	128.56	81.184	91.437	268.63	0.90184	10.223	0.028039	vapor	vapor, P = 6 bar
380.00	6.0000	0.19892	5.0273	31.113	34.130	129.77	82.128	92.293	270.71	0.86588	10.355	0.028714	vapor	vapor, P = 6 bar
385.00	6.0000	0.19593	5.1038	31.531	34.593	130.99	83.072	93.156	272.78	0.83203	10.486	0.029396	vapor	vapor, P = 6 bar
390.00	6.0000	0.19305	5.1800	31.953	35.061	132.19	84.017	94.024	274.81	0.80014	10.617	0.030085	vapor	vapor, P = 6 bar
395.00	6.0000	0.19026	5.2559	32.380	35.534	133.40	84.961	94.898	276.82	0.77006	10.747	0.030782	vapor	vapor, P = 6 bar
400.00	6.0000	0.18756	5.3315	32.811	36.010	134.60	85.905	95.775	278.80	0.74167	10.877	0.031485	vapor	vapor, P = 6 bar
405.00	6.0000	0.18495	5.4069	33.247	36.491	135.79	86.847	96.655	280.76	0.71483	11.006	0.032195	vapor	vapor, P = 6 bar
410.00	6.0000	0.18241	5.4821	33.688	36.977	136.98	87.787	97.537	282.69	0.68945	11.135	0.032912	vapor	vapor, P = 6 bar
415.00	6.0000	0.17995	5.5571	34.132	37.467	138.17	88.725	98.420	284.61	0.66541	11.263	0.033636	vapor	vapor, P = 6 bar
420.00	6.0000	0.17756	5.6318	34.582	37.961	139.35	89.660	99.304	286.50	0.64262	11.390	0.034368	vapor	vapor, P = 6 bar
425.00	6.0000	0.17524	5.7063	35.036	38.460	140.53	90.593	100.19	288.38	0.62100	11.518	0.035106	vapor	vapor, P = 6 bar
430.00	6.0000	0.17299	5.7807	35.494	38.963	141.71	91.522	101.07	290.24	0.60047	11.644	0.035852	vapor	vapor, P = 6 bar
435.00	6.0000	0.17080	5.8549	35.958	39.470	142.89	92.447	101.96	292.07	0.58096	11.771	0.036604	vapor	vapor, P = 6 bar
440.00	6.0000	0.16866	5.9289	36.425	39.982	144.06	93.369	102.84	293.89	0.56239	11.896	0.037364	vapor	vapor, P = 6 bar
445.00	6.0000	0.16659	6.0028	36.897	40.499	145.22	94.287	103.72	295.70	0.54472	12.022	0.038130	vapor	vapor, P = 6 bar
450.00	6.0000	0.16457	6.0765	37.374	41.020	146.39	95.200	104.59	297.49	0.52788	12.147	0.038904	vapor	vapor, P = 6 bar
455.00	6.0000	0.16260	6.1501	37.855	41.545	147.55	96.109	105.47	299.26	0.51181	12.271	0.039685	vapor	vapor, P = 6 bar
														
280.00	10.000	11.795	0.084781	9.5058	9.5906	46.725	70.396	111.97	846.70	-0.017766	118.08	0.10290	liquid	liquid, P = 10 bar
285.00	10.000	11.631	0.085976	10.069	10.155	48.724	71.214	113.88	812.56	-0.013801	112.05	0.10035	liquid	liquid, P = 10 bar
290.00	10.000	11.461	0.087250	10.642	10.730	50.722	72.062	115.96	777.96	-0.0093240	106.26	0.097823	liquid	liquid, P = 10 bar
295.00	10.000	11.285	0.088617	11.226	11.315	52.723	72.939	118.25	742.77	-0.0042155	100.68	0.095330	liquid	liquid, P = 10 bar
300.00	10.000	11.100	0.090091	11.823	11.913	54.732	73.850	120.80	706.85	0.0016878	95.279	0.092861	liquid	liquid, P = 10 bar
300.09	10.000	11.096	0.090120	11.834	11.924	54.769	73.867	120.85	706.18	0.0018057	95.181	0.092815	liquid	liquid, P = 10 bar
300.09	10.000	0.49168	2.0338	24.542	26.576	103.59	70.043	90.047	214.79	2.1407	8.2483	0.019253	vapor	vapor, P = 10 bar
305.00	10.000	0.47679	2.0974	24.919	27.016	105.05	70.586	89.295	218.83	1.9939	8.3874	0.019786	vapor	vapor, P = 10 bar
310.00	10.000	0.46299	2.1599	25.301	27.461	106.50	71.201	88.836	222.71	1.8623	8.5286	0.020343	vapor	vapor, P = 10 bar
315.00	10.000	0.45034	2.2205	25.684	27.905	107.92	71.869	88.614	226.37	1.7453	8.6691	0.020912	vapor	vapor, P = 10 bar
320.00	10.000	0.43868	2.2796	26.068	28.348	109.31	72.578	88.574	229.86	1.6405	8.8090	0.021492	vapor	vapor, P = 10 bar
325.00	10.000	0.42786	2.3372	26.453	28.791	110.69	73.324	88.679	233.19	1.5459	8.9482	0.022083	vapor	vapor, P = 10 bar
330.00	10.000	0.41776	2.3937	26.841	29.235	112.04	74.098	88.899	236.39	1.4599	9.0868	0.022683	vapor	vapor, P = 10 bar
335.00	10.000	0.40831	2.4491	27.231	29.680	113.38	74.896	89.215	239.46	1.3815	9.2248	0.023292	vapor	vapor, P = 10 bar
340.00	10.000	0.39942	2.5036	27.623	30.127	114.70	75.716	89.610	242.44	1.3096	9.3621	0.023909	vapor	vapor, P = 10 bar
345.00	10.000	0.39103	2.5573	28.019	30.576	116.02	76.553	90.070	245.31	1.2434	9.4988	0.024535	vapor	vapor, P = 10 bar
350.00	10.000	0.38310	2.6103	28.417	31.028	117.32	77.404	90.585	248.10	1.1824	9.6349	0.025168	vapor	vapor, P = 10 bar
355.00	10.000	0.37558	2.6625	28.819	31.482	118.60	78.268	91.147	250.82	1.1259	9.7704	0.025810	vapor	vapor, P = 10 bar
360.00	10.000	0.36843	2.7142	29.225	31.939	119.88	79.142	91.749	253.46	1.0735	9.9053	0.026458	vapor	vapor, P = 10 bar
365.00	10.000	0.36162	2.7653	29.634	32.399	121.15	80.024	92.386	256.03	1.0248	10.040	0.027115	vapor	vapor, P = 10 bar
370.00	10.000	0.35513	2.8159	30.047	32.863	122.41	80.914	93.052	258.55	0.97946	10.173	0.027779	vapor	vapor, P = 10 bar
375.00	10.000	0.34891	2.8661	30.464	33.330	123.67	81.811	93.745	261.01	0.93713	10.306	0.028450	vapor	vapor, P = 10 bar
380.00	10.000	0.34296	2.9158	30.885	33.801	124.91	82.712	94.459	263.42	0.89756	10.439	0.029129	vapor	vapor, P = 10 bar
385.00	10.000	0.33726	2.9651	31.310	34.275	126.15	83.617	95.193	265.78	0.86052	10.571	0.029815	vapor	vapor, P = 10 bar
390.00	10.000	0.33178	3.0141	31.738	34.753	127.39	84.526	95.944	268.10	0.82578	10.703	0.030508	vapor	vapor, P = 10 bar
395.00	10.000	0.32651	3.0627	32.171	35.234	128.61	85.436	96.710	270.38	0.79317	10.833	0.031208	vapor	vapor, P = 10 bar
400.00	10.000	0.32144	3.1110	32.609	35.720	129.84	86.349	97.488	272.61	0.76251	10.964	0.031915	vapor	vapor, P = 10 bar
