Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	10.600	0.094336	538.59	585.76	2.4030	1.4537	1.7594	224.34	2.3315	7.6091	0.016485	vapor	vapor, T = 280 K
280.00	5.8168	12.616	0.079264	536.21	582.32	2.3655	1.4659	1.8033	220.36	2.4045	7.6105	0.016544	vapor	vapor, T = 280 K
280.00	5.8168	519.17	0.0019261	216.19	217.31	1.0619	1.5964	2.5468	840.29	-0.016985	117.28	0.10250	liquid	liquid, T = 280 K
280.00	10.000	520.11	0.0019227	215.57	217.50	1.0596	1.5964	2.5393	846.70	-0.017766	118.08	0.10290	liquid	liquid, T = 280 K
280.00	15.000	521.21	0.0019186	214.85	217.73	1.0570	1.5965	2.5308	854.21	-0.018662	119.04	0.10338	liquid	liquid, T = 280 K
280.00	20.000	522.28	0.0019147	214.14	217.97	1.0545	1.5966	2.5226	861.57	-0.019517	119.98	0.10385	liquid	liquid, T = 280 K
280.00	25.000	523.34	0.0019108	213.44	218.22	1.0520	1.5968	2.5148	868.78	-0.020335	120.92	0.10431	liquid	liquid, T = 280 K
280.00	30.000	524.37	0.0019070	212.76	218.48	1.0495	1.5969	2.5074	875.86	-0.021118	121.84	0.10477	liquid	liquid, T = 280 K
280.00	35.000	525.38	0.0019034	212.09	218.75	1.0470	1.5971	2.5002	882.80	-0.021870	122.76	0.10523	liquid	liquid, T = 280 K
280.00	40.000	526.38	0.0018998	211.43	219.03	1.0446	1.5973	2.4934	889.62	-0.022591	123.67	0.10568	liquid	liquid, T = 280 K
														
330.00	5.0000	8.5497	0.11696	618.09	676.57	2.7011	1.6457	1.8911	250.92	1.3349	9.0022	0.022201	vapor	vapor, T = 330 K
330.00	10.000	18.421	0.054285	608.70	662.98	2.5409	1.6804	2.0161	236.39	1.4599	9.0868	0.022683	vapor	vapor, T = 330 K
330.00	15.000	30.380	0.032917	597.29	646.66	2.4274	1.7283	2.2303	218.93	1.6410	9.2563	0.023514	vapor	vapor, T = 330 K
330.00	19.828	45.757	0.021855	582.46	625.80	2.3247	1.8092	2.7170	196.82	1.9369	9.5763	0.025154	vapor	vapor, T = 330 K
